HYD,IRR,ENV,RCP,MODEL
13.26,280.45,2352.99,45.00,1.00
13.27,279.97,2352.92,45.00,1.00
13.27,279.42,2352.85,45.00,1.00
13.27,278.81,2352.76,45.00,1.00
13.28,278.13,2352.67,45.00,1.00
13.28,277.37,2352.56,45.00,1.00
13.29,276.48,2352.43,45.00,1.00
13.30,275.46,2352.29,45.00,1.00
13.31,274.31,2352.13,45.00,1.00
13.32,273.02,2352.17,45.00,1.00
13.33,271.60,2352.26,45.00,1.00
13.34,270.04,2352.30,45.00,1.00
13.35,268.34,2352.28,45.00,1.00
14.46,119.22,2319.81,45.00,1.00
14.42,126.19,2321.03,45.00,1.00
14.38,132.68,2322.27,45.00,1.00
14.34,138.67,2323.51,45.00,1.00
14.30,144.19,2324.77,45.00,1.00
14.27,149.25,2326.04,45.00,1.00
14.23,153.87,2327.32,45.00,1.00
14.19,158.28,2328.63,45.00,1.00
14.15,163.71,2330.16,45.00,1.00
14.10,170.37,2331.96,45.00,1.00
14.03,178.27,2334.04,45.00,1.00
13.97,187.40,2336.33,45.00,1.00
13.89,197.59,2338.79,45.00,1.00
13.82,207.74,2341.22,45.00,1.00
13.74,217.69,2343.53,45.00,1.00
13.67,227.43,2345.74,45.00,1.00
13.59,236.96,2347.83,45.00,1.00
13.52,246.33,2349.73,45.00,1.00
13.45,255.85,2351.35,45.00,1.00
13.37,265.58,2352.37,45.00,1.00
13.28,275.53,2352.78,45.00,1.00
13.20,285.68,2354.14,45.00,1.00
13.12,296.12,2355.10,45.00,1.00
13.04,306.93,2355.44,45.00,1.00
12.96,318.11,2355.82,45.00,1.00
12.87,329.61,2356.32,45.00,1.00
12.79,341.46,2356.07,45.00,1.00
12.70,353.45,2355.37,45.00,1.00
12.62,364.07,2355.18,45.00,1.00
12.56,373.09,2355.85,45.00,1.00
12.51,380.57,2356.65,45.00,1.00
12.47,386.52,2357.30,45.00,1.00
12.44,391.04,2357.76,45.00,1.00
12.42,395.18,2358.16,45.00,1.00
12.39,399.07,2358.55,45.00,1.00
12.37,402.72,2358.92,45.00,1.00
12.35,406.12,2359.27,45.00,1.00
12.33,409.33,2359.60,45.00,1.00
12.30,412.57,2359.93,45.00,1.00
12.28,415.90,2360.26,45.00,1.00
12.26,419.31,2360.59,45.00,1.00
12.24,422.80,2360.91,45.00,1.00
12.21,426.14,2361.21,45.00,1.00
12.20,427.89,2361.35,45.00,1.00
12.21,427.81,2361.31,45.00,1.00
12.22,425.90,2361.10,45.00,1.00
12.25,422.17,2360.68,45.00,1.00
12.29,416.94,2360.07,45.00,1.00
12.33,412.00,2359.45,45.00,1.00
12.36,407.69,2358.88,45.00,1.00
12.39,404.00,2358.35,45.00,1.00
12.41,400.90,2357.90,45.00,1.00
12.43,398.34,2357.50,45.00,1.00
12.45,395.87,2357.11,45.00,1.00
12.47,393.38,2356.74,45.00,1.00
12.49,390.92,2356.39,45.00,1.00
12.51,388.48,2356.04,45.00,1.00
12.53,386.10,2355.75,45.00,1.00
12.54,384.11,2355.60,45.00,1.00
12.56,382.57,2355.45,45.00,1.00
12.57,381.47,2355.32,45.00,1.00
12.57,380.82,2355.22,45.00,1.00
12.58,380.57,2355.15,45.00,1.00
12.58,380.53,2355.10,45.00,1.00
12.58,380.67,2355.07,45.00,1.00
12.58,380.99,2355.05,45.00,1.00
12.58,381.47,2355.04,45.00,1.00
12.58,382.14,2355.05,45.00,1.00
12.57,382.97,2355.08,45.00,1.00
12.57,383.96,2355.12,45.00,1.00
12.56,385.11,2355.17,45.00,1.00
12.55,386.42,2355.23,45.00,1.00
12.54,387.87,2355.30,45.00,1.00
12.53,389.32,2355.37,45.00,1.00
12.52,390.74,2355.44,45.00,1.00
12.51,392.15,2355.50,45.00,1.00
12.51,393.53,2355.56,45.00,1.00
12.50,394.91,2355.63,45.00,1.00
12.49,396.45,2355.75,45.00,1.00
12.48,398.16,2355.89,45.00,1.00
12.46,400.06,2356.06,45.00,1.00
12.45,402.16,2356.25,45.00,1.00
12.44,404.40,2356.45,45.00,1.00
12.42,406.60,2356.66,45.00,1.00
12.41,408.74,2356.88,45.00,1.00
12.39,410.83,2357.09,45.00,1.00
12.38,412.86,2357.29,45.00,1.00
12.37,414.82,2357.48,45.00,1.00
12.36,416.63,2357.65,45.00,1.00
12.35,418.30,2357.81,45.00,1.00
12.34,419.83,2357.94,45.00,1.00
12.33,421.21,2358.06,45.00,1.00
12.32,422.45,2358.16,45.00,1.00
12.31,423.54,2358.25,45.00,1.00
12.31,424.49,2358.31,45.00,1.00
14.46,119.27,2319.81,45.00,1.00
14.42,126.28,2321.05,45.00,1.00
14.38,132.76,2322.28,45.00,1.00
14.34,138.73,2323.52,45.00,1.00
14.30,144.19,2324.77,45.00,1.00
14.27,149.16,2326.02,45.00,1.00
14.23,153.67,2327.28,45.00,1.00
14.19,157.94,2328.58,45.00,1.00
14.15,163.19,2330.08,45.00,1.00
14.10,169.63,2331.84,45.00,1.00
14.04,177.27,2333.87,45.00,1.00
13.97,186.09,2336.11,45.00,1.00
13.90,195.93,2338.51,45.00,1.00
13.83,205.76,2340.89,45.00,1.00
13.75,215.42,2343.17,45.00,1.00
13.68,224.89,2345.35,45.00,1.00
13.61,234.18,2347.45,45.00,1.00
13.54,243.34,2349.37,45.00,1.00
13.47,252.62,2351.05,45.00,1.00
13.39,262.06,2352.26,45.00,1.00
13.30,271.68,2352.43,45.00,1.00
13.23,281.47,2353.85,45.00,1.00
13.15,291.50,2354.92,45.00,1.00
13.07,301.89,2355.46,45.00,1.00
12.99,312.59,2355.59,45.00,1.00
12.91,323.58,2356.30,45.00,1.00
12.82,334.85,2356.37,45.00,1.00
12.74,346.21,2355.74,45.00,1.00
12.67,356.11,2354.89,45.00,1.00
12.61,364.29,2355.44,45.00,1.00
12.57,370.77,2355.94,45.00,1.00
12.54,375.58,2356.43,45.00,1.00
12.52,378.88,2356.72,45.00,1.00
12.50,381.69,2356.99,45.00,1.00
12.48,384.19,2357.25,45.00,1.00
12.47,386.34,2357.48,45.00,1.00
12.46,388.15,2357.70,45.00,1.00
12.45,389.66,2357.90,45.00,1.00
12.44,391.14,2358.09,45.00,1.00
12.43,392.62,2358.29,45.00,1.00
12.42,394.10,2358.48,45.00,1.00
12.41,395.59,2358.68,45.00,1.00
12.40,396.83,2358.84,45.00,1.00
12.41,396.34,2358.78,45.00,1.00
12.43,393.85,2358.46,45.00,1.00
12.46,389.41,2357.86,45.00,1.00
12.51,382.98,2356.99,45.00,1.00
12.56,374.95,2356.04,45.00,1.00
12.62,367.23,2355.44,45.00,1.00
12.67,360.09,2355.77,45.00,1.00
12.72,353.51,2356.13,45.00,1.00
12.77,347.53,2356.43,45.00,1.00
12.81,342.11,2356.64,45.00,1.00
12.85,336.81,2356.66,45.00,1.00
12.89,331.56,2356.53,45.00,1.00
12.93,326.37,2356.25,45.00,1.00
12.97,321.22,2355.85,45.00,1.00
13.00,316.18,2355.68,45.00,1.00
13.04,311.61,2355.70,45.00,1.00
13.07,307.57,2355.59,45.00,1.00
13.09,304.05,2355.43,45.00,1.00
13.11,301.07,2355.23,45.00,1.00
13.13,298.57,2355.04,45.00,1.00
13.15,296.34,2354.83,45.00,1.00
13.16,294.32,2354.63,45.00,1.00
13.18,292.50,2354.44,45.00,1.00
13.19,290.91,2354.26,45.00,1.00
13.20,289.52,2354.09,45.00,1.00
13.21,288.24,2353.94,45.00,1.00
13.22,287.05,2353.79,45.00,1.00
13.22,285.96,2353.65,45.00,1.00
13.23,284.97,2353.53,45.00,1.00
13.24,284.09,2353.42,45.00,1.00
13.24,283.35,2353.33,45.00,1.00
13.25,282.76,2353.25,45.00,1.00
13.25,282.32,2353.21,45.00,1.00
13.25,282.04,2353.19,45.00,1.00
13.25,281.89,2353.18,45.00,1.00
13.25,281.71,2353.17,45.00,1.00
13.25,281.46,2353.14,45.00,1.00
13.26,281.17,2353.11,45.00,1.00
13.26,280.81,2353.06,45.00,1.00
13.26,280.40,2353.00,45.00,1.00
13.27,279.91,2352.92,45.00,1.00
13.27,279.34,2352.85,45.00,1.00
13.27,278.71,2352.76,45.00,1.00
13.28,277.99,2352.66,45.00,1.00
13.28,277.19,2352.55,45.00,1.00
13.29,276.27,2352.41,45.00,1.00
13.30,275.21,2352.26,45.00,1.00
13.31,274.01,2352.11,45.00,1.00
13.32,272.67,2352.19,45.00,1.00
13.33,271.20,2352.28,45.00,1.00
13.34,269.59,2352.30,45.00,1.00
13.36,267.85,2352.26,45.00,1.00
14.46,119.22,2319.81,45.00,1.00
14.42,126.19,2321.03,45.00,1.00
14.38,132.68,2322.27,45.00,1.00
14.34,138.67,2323.51,45.00,1.00
14.30,144.19,2324.77,45.00,1.00
14.27,149.25,2326.04,45.00,1.00
14.23,153.87,2327.32,45.00,1.00
14.19,158.28,2328.63,45.00,1.00
14.15,163.71,2330.16,45.00,1.00
14.10,170.37,2331.96,45.00,1.00
14.03,178.27,2334.04,45.00,1.00
13.97,187.40,2336.32,45.00,1.00
13.89,197.58,2338.78,45.00,1.00
13.82,207.73,2341.21,45.00,1.00
13.74,217.66,2343.52,45.00,1.00
13.67,227.39,2345.73,45.00,1.00
13.59,236.90,2347.82,45.00,1.00
13.52,246.26,2349.71,45.00,1.00
13.45,255.76,2351.34,45.00,1.00
13.37,265.46,2352.36,45.00,1.00
13.28,275.38,2352.76,45.00,1.00
13.21,285.51,2354.12,45.00,1.00
13.13,295.92,2355.09,45.00,1.00
13.04,306.70,2355.44,45.00,1.00
12.96,317.85,2355.81,45.00,1.00
12.87,329.34,2356.31,45.00,1.00
12.79,341.17,2356.09,45.00,1.00
12.70,353.14,2355.41,45.00,1.00
12.63,363.73,2355.14,45.00,1.00
12.56,372.73,2355.80,45.00,1.00
12.51,380.17,2356.60,45.00,1.00
12.48,386.08,2357.24,45.00,1.00
12.45,390.56,2357.69,45.00,1.00
12.42,394.65,2358.09,45.00,1.00
12.40,398.52,2358.48,45.00,1.00
12.37,402.15,2358.85,45.00,1.00
12.35,405.54,2359.20,45.00,1.00
12.33,408.73,2359.53,45.00,1.00
12.31,411.95,2359.87,45.00,1.00
12.29,415.22,2360.19,45.00,1.00
12.27,418.55,2360.51,45.00,1.00
12.24,421.94,2360.83,45.00,1.00
12.22,425.15,2361.12,45.00,1.00
12.21,426.78,2361.25,45.00,1.00
12.21,426.62,2361.20,45.00,1.00
12.23,424.64,2360.98,45.00,1.00
12.26,420.87,2360.56,45.00,1.00
12.30,415.60,2359.93,45.00,1.00
12.34,410.65,2359.31,45.00,1.00
12.37,406.34,2358.72,45.00,1.00
12.40,402.64,2358.19,45.00,1.00
12.42,399.54,2357.73,45.00,1.00
12.44,397.00,2357.34,45.00,1.00
12.46,394.55,2356.95,45.00,1.00
12.48,392.08,2356.59,45.00,1.00
12.50,389.65,2356.25,45.00,1.00
12.52,387.25,2355.92,45.00,1.00
12.54,384.91,2355.69,45.00,1.00
12.55,382.96,2355.52,45.00,1.00
12.56,381.47,2355.37,45.00,1.00
12.57,380.42,2355.24,45.00,1.00
12.58,379.82,2355.15,45.00,1.00
12.58,379.62,2355.08,45.00,1.00
12.59,379.64,2355.04,45.00,1.00
12.59,379.83,2355.01,45.00,1.00
12.59,380.19,2354.99,45.00,1.00
12.58,380.72,2354.99,45.00,1.00
